latitude,longitude,distance_km,bearing_degrees
-30.04108716,-51.23222954,1.5753,242.95
-30.06668175,-51.18600466,4.6886,139.468
-30.01448479,-51.21205259,2.3066,13.536
-30.00155488,-51.23262034,3.9527,338.617
-30.02779224,-51.17100925,4.5563,80.379
-29.99357858,-51.23541934,4.8777,339.466
-30.01648922,-51.24954632,3.6754,303.324
-30.05849852,-51.18672493,3.9885,131.701
-30.04627163,-51.24721484,3.1258,245.559
-30.05341701,-51.20947473,2.2315,159.325
-30.00870545,-51.22392078,2.9477,348.193
-30.05029304,-51.26216174,4.6248,247.885
-30.07790316,-51.2036786,4.9959,164.376
-30.05968178,-51.1958636,3.4866,143.004
-30.01243072,-51.25827784,4.6268,302.27
-30.03972704,-51.19005805,2.717,102.01
-30.06070468,-51.17764669,4.8208,126.966
-30.04533078,-51.2212426,1.2374,196.193
-29.99904125,-51.21698046,3.9608,0.945
-30.05241274,-51.18524664,3.6937,122.35
-30.05119316,-51.23154781,2.2749,216.001
-30.05804203,-51.20906409,2.7305,162.362
-30.03828808,-51.18743309,2.9384,97.929
-30.01838382,-51.18529312,3.6036,59.878
-30.06772161,-51.24641388,4.6041,216.956
-30.02822391,-51.21010739,1.0194,45.506
-30.06364492,-51.22982706,3.4315,199.96
-30.02041466,-51.20283247,2.1317,42.051
-30.02945549,-51.19976547,1.8172,71.476
-30.04033318,-51.26372574,4.4806,261.874
-30.05248222,-51.2067104,2.2464,152.018
-30.07717335,-51.21938723,4.733,182.015
-30.04969646,-51.22657099,1.881,207.14
-30.01486573,-51.24476725,3.4141,310.117
-30.05373048,-51.26162445,4.7355,243.359
-29.99852504,-51.20754383,4.1341,13.631
-30.07553477,-51.2054929,4.6962,165.562
-30.06404559,-51.21227129,3.3108,170.988
-30.06834072,-51.21495145,3.7567,176.023
-30.03232487,-51.21026168,0.7576,70.069
-29.99873175,-51.21948619,3.9986,357.476
-30.00221199,-51.22552735,3.6864,348.135
-30.02764286,-51.25084839,3.2896,283.691
-30.02655075,-51.20207391,1.7502,59.037
-30.06307018,-51.21643935,3.1636,177.874
-30.03528083,-51.24316122,2.4567,268.349
-30.0731661,-51.23823893,4.7203,204.814
-30.04335422,-51.25911173,4.1072,256.351
-30.0539081,-51.23780894,2.8903,222.159
-30.03085498,-51.1976115,1.9759,77.68
-29.99303501,-51.21864678,4.6293,358.822
-30.06123494,-51.2083283,3.0907,163.106
-30.03073735,-51.19616046,2.1153,78.142
-29.99688597,-51.22368076,4.2399,352.136
-30.07557346,-51.23124526,4.7363,196.028
-30.01615515,-51.18349289,3.8801,57.998
-30.0186561,-51.22914828,2.0947,328.112
-30.01496917,-51.25381224,4.1124,302.146
-30.02824642,-51.20583498,1.3428,57.985
-30.05772003,-51.17320172,4.9907,120.957
-30.06567773,-51.2400142,4.0675,211.942
-30.04989362,-51.16918356,4.9659,109.98
-30.00496168,-51.22856195,3.4648,342.355
-30.03508766,-51.20796284,0.9349,93.007
-30.03960329,-51.2462719,2.8098,258.678
-30.07925063,-51.21935431,4.9638,181.884
-30.04450613,-51.1799566,3.7922,106.818
-30.0159919,-51.20052395,2.6511,38.497
-30.03225775,-51.22843523,1.0712,284.362
-30.0124807,-51.25953264,4.7265,301.431
-30.01498937,-51.25238703,3.9957,303.167
-30.05563826,-51.19306937,3.3251,134.608
-30.06980573,-51.23946005,4.4382,208.219
-30.00017601,-51.20431509,4.0437,18.533
-30.06385419,-51.18685707,4.3986,137.617
-30.01294735,-51.21296682,2.4555,10.604
-29.99638881,-51.22542072,4.3205,350.034
-30.06672069,-51.23286148,3.856,202.304
-30.01368888,-51.23771913,3.0276,320.345
-30.05658189,-51.19743779,3.1213,141.416
-30.05226092,-51.20941359,2.1138,157.944
-30.02987743,-51.22686154,1.0329,300.904
-30.00852674,-51.17998812,4.6477,51.32
-30.04966332,-51.25578,4.0326,245.523
-30.05323133,-51.23821128,2.8616,223.746
-30.05256796,-51.21759858,1.9933,179.834
-30.03978261,-51.22412408,0.8449,227.462
-30.03087648,-51.21402567,0.5461,39.832
-30.00914065,-51.21473665,2.8509,5.665
-30.03821252,-51.1994835,1.7944,102.772
-30.00663238,-51.18131797,4.6859,48.329
-30.03195408,-51.24040069,2.2103,277.783
-30.04945676,-51.20921351,1.837,153.73
-30.06200536,-51.25293628,4.5602,228.134
-30.02480815,-51.21620002,1.1033,7.313
-30.01722064,-51.21169608,2.0215,16.502
-30.03501083,-51.17964478,3.6606,90.643
-30.04107314,-51.24019929,2.2851,251.767
-30.05058769,-51.25074931,3.6462,240.897
-30.05548591,-51.22518111,2.4284,197.352
-29.99094142,-51.22973677,4.9985,346.539
-30.0387871,-51.2045648,1.3422,110.067
-30.0436414,-51.16893001,4.7974,102.049
-30.03374675,-51.22262986,0.4891,281.814
-30.04507123,-51.18093097,3.7216,108.162
